,kcat,MW,kcat_MW
ZN2abcpp_num1,26635581.479465898,87.0400793000001,306015.1334152779
ZN2t3pp,26635581.479465898,27.090878,983193.7333100056
CD2tpp,26635581.479465898,27.090878,983193.7333100056
CU2tpp,26635581.479465898,79.31424850000043,335823.4110919648
FE2tpp_num1,26635581.479465898,27.090878,983193.7333100056
MI1PS,7337.303999999999,39.22289170000002,187.06688064001145
MI2DH_num1,208800.0,145.72370760000024,1432.848528484734
UAGAAT_num1,33000.0,51.947940100000075,635.2513677438377
ACACT1r,900810432.0,42.589736900000034,21150880.413163558
ACCOAC_num1,41806.799999999996,52.23823980000008,800.3102738542108
ACOAD1f,13955.694007873537,43.52788540000008,320.6150236710904
ACOAD2f,8448.846817016602,43.52788540000008,194.10193579071924
ACOAD3f,15720.457077026367,43.52788540000008,361.15829961788904
ACOAD4f,7960.502815246582,43.52788540000008,182.88282883704173
ACOAD5f,15720.457077026367,43.52788540000008,361.15829961788904
ACOAD6f,16195.469856262207,43.52788540000008,372.0711380172439
ACOAD7f,15720.457077026367,43.52788540000008,361.15829961788904
ACOAD8f,15259.374618530273,43.52788540000008,350.56549332236216
ACOATA_num1,61805.325332,51.947940100000075,1189.7550742729047
KAS14_num1,615.0857142857141,14.750437999999997,41.69948812948566
KAS15_num1,37375.14000000001,14.750437999999997,2533.8325546671913
MCOATA_num1,332410.85345454543,51.947940100000075,6398.922706360497
AHCYSNS,7598.475692307693,22.19209929999999,342.39553408575887
CYSTL,15147201.599999998,35.56989750000005,425843.2737963323
HSST_num1,3216.6,82.35525740000003,39.05761576795216
METAT,3514.859226,176.7041516000003,19.891209086906333
METS,613235.0399999999,214.7171547000009,2856.013255469976
SHSL1_num1,228227.4857142857,41.65764120000005,5478.646393312481
GLYOX,1637243.141142857,53.55540100000012,30571.018246000127
LGTHL,521962.1052631579,15.92473219999998,32776.82153192872
MCTP1App,26635581.479465898,76.1668440000004,349700.4743883803
MCTP1Bpp,26635581.479465898,76.1668440000004,349700.4743883803
MCTP2App,26635581.479465898,76.1668440000004,349700.4743883803
MDDCP3pp,140638.24615384615,82.82845540000008,1697.9460195734378
MDDCP4pp,140638.24615384615,82.82845540000008,1697.9460195734378
MDDCP5pp,140638.24615384615,82.82845540000008,1697.9460195734378
MPTG_num1,26635581.479465898,76.1668440000004,349700.4743883803
MPTG2_num1,7941.120529174805,76.1668440000004,104.25954538926102
AGM4PApp,15735.812187194824,42.19738030000007,372.90969428248604
NHFRBO_num1,26635581.479465898,43.81796310000005,607869.0015480402
3NTD7pp,169999.9969482422,72.28671450000033,2351.7460729003174
3NTD9pp,130044.67163085938,72.28671450000033,1799.012066468435
ADK1,117273.95998560001,19.42671540000001,6036.736399895988
ADK2,117273.95998560001,19.42671540000001,6036.736399895988
ADK3,26635581.479465898,21.799999100000008,1221815.7146376162
ADK4,26635581.479465898,21.799999100000008,1221815.7146376162
ADNCYC,1402917.40125675,37.721782400000066,37191.1747536285
ADNK1,51810.926055908196,19.42671540000001,2666.9936213667993
ADPRDP,59533.411764705874,23.7239301,2509.4245141409297
ADPT,21943.30909090909,39.12630839999997,560.8325954643118
AMPN,148800.0,53.14460900000006,2799.9077008921045
AP5AH,28540.24543762207,36.40895670000002,783.8797928978299
CYTK1,328432.0,24.138920399999996,13605.910892352918
CYTK2,328432.0,24.138920399999996,13605.910892352918
DCTPD_num1,927755.9999999999,62.06473559999996,14948.198699810468
DGK1,1034562.8571428572,20.656945400000005,50083.05134712013
