	reaction	equ	g0
CITtex_reverse	CITtex_reverse	cit_c --> cit_e	0.0
CRNDt2rpp_reverse	CRNDt2rpp_reverse	crn__D_c + h_c --> crn__D_e + h_e	0.0
CRNt2rpp_reverse	CRNt2rpp_reverse	crn_c + h_c --> crn_e + h_e	0.0
CTBTt2rpp_reverse	CTBTt2rpp_reverse	ctbt_c + h_c --> ctbt_e + h_e	0.0
CUtex_reverse	CUtex_reverse	cu_c --> cu_e	0.0
CYANtex_reverse	CYANtex_reverse	cyan_c --> cyan_e	0.0
CYTDt2rpp_reverse	CYTDt2rpp_reverse	cytd_c + h_c --> cytd_e + h_e	0.0
DADNtex_reverse	DADNtex_reverse	dad_2_c --> dad_2_e	0.0
DALAtex_reverse	DALAtex_reverse	ala__D_c --> ala__D_e	0.0
DAMPtex_reverse	DAMPtex_reverse	damp_c --> damp_e	0.0
DCMPtex_reverse	DCMPtex_reverse	dcmp_c --> dcmp_e	0.0
DCYTtex_reverse	DCYTtex_reverse	dcyt_c --> dcyt_e	0.0
DGMPtex_reverse	DGMPtex_reverse	dgmp_c --> dgmp_e	0.0
DGSNtex_reverse	DGSNtex_reverse	dgsn_c --> dgsn_e	0.0
DHAtpp_reverse	DHAtpp_reverse	dha_c --> dha_e	0.0
DIMPtex_reverse	DIMPtex_reverse	dimp_c --> dimp_e	0.0
DINStex_reverse	DINStex_reverse	din_c --> din_e	0.0
D_LACt2pp_reverse	D_LACt2pp_reverse	h_c + lac__D_c --> h_e + lac__D_e	0.0
DMSOtex_reverse	DMSOtex_reverse	dmso_c --> dmso_e	0.0
DMStex_reverse	DMStex_reverse	dms_c --> dms_e	0.0
DTMPtex_reverse	DTMPtex_reverse	dtmp_c --> dtmp_e	0.0
DUMPtex_reverse	DUMPtex_reverse	dump_c --> dump_e	0.0
DURItex_reverse	DURItex_reverse	duri_c --> duri_e	0.0
ETHAtex_reverse	ETHAtex_reverse	etha_c --> etha_e	0.0
ETOHtrpp_reverse	ETOHtrpp_reverse	etoh_c --> etoh_e	0.0
F6Ptex_reverse	F6Ptex_reverse	f6p_c --> f6p_e	0.0
FE3tex_reverse	FE3tex_reverse	fe3_c --> fe3_e	0.0
FRUtex_reverse	FRUtex_reverse	fru_c --> fru_e	0.0
FRUURt2rpp_reverse	FRUURt2rpp_reverse	fruur_c + h_c --> fruur_e + h_e	0.0
FUMtex_reverse	FUMtex_reverse	fum_c --> fum_e	0.0
G1Ptex_reverse	G1Ptex_reverse	g1p_c --> g1p_e	0.0
G3PEtex_reverse	G3PEtex_reverse	g3pe_c --> g3pe_e	0.0
G3PGtex_reverse	G3PGtex_reverse	g3pg_c --> g3pg_e	0.0
G3PItex_reverse	G3PItex_reverse	g3pi_c --> g3pi_e	0.0
G3PStex_reverse	G3PStex_reverse	g3ps_c --> g3ps_e	0.0
G6Ptex_reverse	G6Ptex_reverse	g6p_c --> g6p_e	0.0
GAL1Ptex_reverse	GAL1Ptex_reverse	gal1p_c --> gal1p_e	0.0
GAMAN6Ptex_reverse	GAMAN6Ptex_reverse	gam6p_c --> gam6p_e	0.0
GAMtex_reverse	GAMtex_reverse	gam_c --> gam_e	0.0
GLCNt2rpp_reverse	GLCNt2rpp_reverse	glcn_c + h_c --> glcn_e + h_e	0.0
GLCUR1Ptex_reverse	GLCUR1Ptex_reverse	glcur1p_c --> glcur1p_e	0.0
GLCURt2rpp_reverse	GLCURt2rpp_reverse	glcur_c + h_c --> glcur_e + h_e	0.0
GLNt2rpp_reverse	GLNt2rpp_reverse	gln__L_c + h_c --> gln__L_e + h_e	0.0
GLUtex_reverse	GLUtex_reverse	glu__L_c --> glu__L_e	0.0
GLYALDtpp_reverse	GLYALDtpp_reverse	glyald_c --> glyald_e	0.0
GLYC3Ptex_reverse	GLYC3Ptex_reverse	glyc3p_c --> glyc3p_e	0.0
GLYCAt2rpp_reverse	GLYCAt2rpp_reverse	glyc__R_c + h_c --> glyc__R_e + h_e	0.0
GLYCtpp_reverse	GLYCtpp_reverse	glyc_e --> glyc_c	0.0
GLYtex_reverse	GLYtex_reverse	gly_c --> gly_e	0.0
GMPtex_reverse	GMPtex_reverse	gmp_c --> gmp_e	0.0
GSNtex_reverse	GSNtex_reverse	gsn_c --> gsn_e	0.0
GTHRDtex_reverse	GTHRDtex_reverse	gthrd_c --> gthrd_e	0.0
GUAtpp_reverse	GUAtpp_reverse	gua_c --> gua_e	0.0
H2Otpp_reverse	H2Otpp_reverse	h2o_c --> h2o_e	0.0
H2Stex_reverse	H2Stex_reverse	h2s_c --> h2s_e	0.0
H2tpp_reverse	H2tpp_reverse	h2_c --> h2_e	0.0
HISt2rpp_reverse	HISt2rpp_reverse	h_c + his__L_c --> h_e + his__L_e	0.0
HOMtex_reverse	HOMtex_reverse	hom__L_c --> hom__L_e	0.0
HYXNtpp_reverse	HYXNtpp_reverse	hxan_c --> hxan_e	0.0
ILEt2rpp_reverse	ILEt2rpp_reverse	h_c + ile__L_c --> h_e + ile__L_e	0.0
INDOLEt2rpp_reverse	INDOLEt2rpp_reverse	h_c + indole_c --> h_e + indole_e	0.0
INSt2rpp_reverse	INSt2rpp_reverse	h_c + ins_c --> h_e + ins_e	0.0
LEUt2rpp_reverse_num1	LEUt2rpp_reverse_num1	h_c + leu__L_c --> h_e + leu__L_e	0.0
L_LACt2rpp_reverse	L_LACt2rpp_reverse	h_c + lac__L_c --> h_e + lac__L_e	0.0
LYSt2pp_reverse	LYSt2pp_reverse	h_c + lys__L_c --> h_e + lys__L_e	0.0
METt2rpp_reverse	METt2rpp_reverse	h_c + met__L_c --> h_e + met__L_e	0.0
NAtex_reverse	NAtex_reverse	na1_c --> na1_e	0.0
NO3tex_reverse	NO3tex_reverse	no3_c --> no3_e	0.0
NOtex_reverse	NOtex_reverse	no_c --> no_e	0.0
O2Stex_reverse	O2Stex_reverse	o2s_c --> o2s_e	0.0
PHEt2rpp_reverse	PHEt2rpp_reverse	h_c + phe__L_c --> h_e + phe__L_e	0.0
PSERtex_reverse_num1	PSERtex_reverse_num1	pser__L_c --> pser__L_e	0.0
PTRCORNt7pp_reverse	PTRCORNt7pp_reverse	orn_e + ptrc_c --> orn_c + ptrc_e	0.0
PYRt2rpp_reverse	PYRt2rpp_reverse	h_c + pyr_c --> h_e + pyr_e	0.0
THMDt2rpp_reverse	THMDt2rpp_reverse	h_c + thymd_c --> h_e + thymd_e	0.0
TRPt2rpp_reverse	TRPt2rpp_reverse	h_c + trp__L_c --> h_e + trp__L_e	0.0
TYRt2rpp_reverse	TYRt2rpp_reverse	h_c + tyr__L_c --> h_e + tyr__L_e	0.0
URAt2rpp_reverse_num1	URAt2rpp_reverse_num1	h_c + ura_c --> h_e + ura_e	0.0
UREAtpp_reverse	UREAtpp_reverse	urea_c --> urea_e	0.0
URIt2rpp_reverse	URIt2rpp_reverse	h_c + uri_c --> h_e + uri_e	0.0
VALt2rpp_reverse	VALt2rpp_reverse	h_c + val__L_c --> h_e + val__L_e	0.0
XANtpp_reverse	XANtpp_reverse	xan_c --> xan_e	0.0
XTSNt2rpp_reverse	XTSNt2rpp_reverse	h_c + xtsn_c --> h_e + xtsn_e	0.0
PHETA1_reverse_num1	PHETA1_reverse_num1	akg_c + phe__L_c --> glu__L_c + phpyr_c	-0.4
PSCVT_reverse	PSCVT_reverse	3psme_c + pi_c --> pep_c + skm5p_c	15.9
SHK3Dr_reverse_num1	SHK3Dr_reverse_num1	nadp_c + skm_c --> 3dhsk_c + h_c + nadph_c	5.7
TYRTA_reverse_num1	TYRTA_reverse_num1	akg_c + tyr__L_c --> 34hpp_c + glu__L_c	0.1
ILETA_reverse	ILETA_reverse	akg_c + ile__L_c --> 3mop_c + glu__L_c	-6.2
IPPMIa_reverse	IPPMIa_reverse	2ippm_c + h2o_c --> 3c2hmp_c	3.7
IPPMIb_reverse	IPPMIb_reverse	3c3hmp_c --> 2ippm_c + h2o_c	0.4
KARA1_reverse	KARA1_reverse	alac__S_c + h_c + nadph_c --> 23dhmb_c + nadp_c	-14.8
KARA2_reverse	KARA2_reverse	23dhmp_c + nadp_c --> 2ahbut_c + h_c + nadph_c	14.8
LEUTAi_reverse	LEUTAi_reverse	akg_c + leu__L_c --> 4mop_c + glu__L_c	0.0
ADNUC_num2	ADNUC_num2	adn_c + h2o_c --> ade_c + rib__D_c	-6.0
ADNUC_num3	ADNUC_num3	adn_c + h2o_c --> ade_c + rib__D_c	-6.0
ALCD19_num2	ALCD19_num2	glyald_c + h_c + nadh_c --> glyc_c + nad_c	-35.0
ALCD19_num3	ALCD19_num3	glyald_c + h_c + nadh_c --> glyc_c + nad_c	-35.0
ARAI_num2	ARAI_num2	arab__L_c --> rbl__L_c	4.9
FFSD_num2	FFSD_num2	h2o_c + suc6p_c --> fru_c + g6p_c	-21.1
GNK_num2	GNK_num2	atp_c + glcn_c --> 6pgc_c + adp_c + h_c	-12.7
HPYRI_num2	HPYRI_num2	hpyr_c --> 2h3oppan_c	1.6
MCITL2_num2	MCITL2_num2	micit_c --> pyr_c + succ_c	0.0
MSDH_num2	MSDH_num2	2mop_c + coa_c + h2o_c + nad_c --> hco3_c + nadh_c + ppcoa_c	-39.2
PGLYCP_num2	PGLYCP_num2	2pglyc_c + h2o_c --> glyclt_c + pi_c	-32.0
PMANM_num2	PMANM_num2	man1p_c --> man6p_c	-4.4
RBK_num2	RBK_num2	atp_c + rib__D_c --> adp_c + h_c + r5p_c	-30.1
UDPGPpp_num2	UDPGPpp_num2	h2o_c + udpg_c --> g1p_c + 2.0 h_c + ump_c	-43
MCITD_num2	MCITD_num2	2mcit_c --> 2mcacn_c + h2o_c	-2.9
MCITD_num3	MCITD_num3	2mcit_c --> 2mcacn_c + h2o_c	-2.9
ME1_num2	ME1_num2	mal__L_c + nad_c --> co2_c + nadh_c + pyr_c	12.1
AMPTASEPG_num2	AMPTASEPG_num2	h2o_c + progly_c --> gly_c + pro__L_c	28
SPMDAT2_num2	SPMDAT2_num2	accoa_c + spmd_c --> coa_c + h_c + n8aspmd_c	-27.2
SPMDAT2_num3	SPMDAT2_num3	accoa_c + spmd_c --> coa_c + h_c + n8aspmd_c	-27.2
SPMDAT2_num4	SPMDAT2_num4	accoa_c + spmd_c --> coa_c + h_c + n8aspmd_c	-27.2
SPMDAT2_num5	SPMDAT2_num5	accoa_c + spmd_c --> coa_c + h_c + n8aspmd_c	-27.2
SPMDAT2_num6	SPMDAT2_num6	accoa_c + spmd_c --> coa_c + h_c + n8aspmd_c	-27.2
SSALy_num2	SSALy_num2	h2o_c + nadp_c + sucsal_c --> 2.0 h_c + nadph_c + succ_c	-44.3
SSALy_num3	SSALy_num3	h2o_c + nadp_c + sucsal_c --> 2.0 h_c + nadph_c + succ_c	-44.3
3OAS100_num2	3OAS100_num2	h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c	0.0
3OAS100_num3	3OAS100_num3	h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c	0.0
3OAS120_num2	3OAS120_num2	dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c	0.0
3OAS120_num3	3OAS120_num3	dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c	0.0
3OAS121_num2	3OAS121_num2	cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c	0.0
3OAS121_num3	3OAS121_num3	cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c	0.0
3OAS140_num2	3OAS140_num2	ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c	0.0
3OAS140_num3	3OAS140_num3	ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c	0.0
3OAS141_num2	3OAS141_num2	cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c	0.0
3OAS141_num3	3OAS141_num3	cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c	0.0
3OAS160_num2	3OAS160_num2	h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c	0.0
3OAS160_num3	3OAS160_num3	h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c	0.0
3OAS161_num2	3OAS161_num2	h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c	0.0
3OAS161_num3	3OAS161_num3	h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c	0.0
3OAS180_num2	3OAS180_num2	h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c	0.0
3OAS180_num3	3OAS180_num3	h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c	0.0
3OAS181_num2	3OAS181_num2	h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c	0.0
3OAS181_num3	3OAS181_num3	h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c	0.0
3OAS60_num2	3OAS60_num2	butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c	0.0
3OAS60_num3	3OAS60_num3	butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c	0.0
3OAS80_num2	3OAS80_num2	h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c	0.0
3OAS80_num3	3OAS80_num3	h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c	0.0
AACPS1_num2	AACPS1_num2	ACP_c + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c	-0.0
AACPS1_num3	AACPS1_num3	ACP_c + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c	-0.0
AACPS2_num2	AACPS2_num2	ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c	-0.0
AACPS2_num3	AACPS2_num3	ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c	-0.0
AACPS3_num2	AACPS3_num2	ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c	-0.0
AACPS3_num3	AACPS3_num3	ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c	-0.0
AACPS4_num2	AACPS4_num2	ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c	-0.0
AACPS4_num3	AACPS4_num3	ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c	-0.0
AACPS5_num2	AACPS5_num2	ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c	-0.0
AACPS5_num3	AACPS5_num3	ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c	-0.0
AACPS6_num2	AACPS6_num2	ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c	-0.0
AACPS6_num3	AACPS6_num3	ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c	-0.0
AACPS7_num2	AACPS7_num2	ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c	-0.0
AACPS7_num3	AACPS7_num3	ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c	-0.0
AACPS8_num2	AACPS8_num2	ACP_c + atp_c + dca_c --> amp_c + dcaACP_c + ppi_c	-0.0
AACPS8_num3	AACPS8_num3	ACP_c + atp_c + dca_c --> amp_c + dcaACP_c + ppi_c	-0.0
AACPS9_num2	AACPS9_num2	ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c	-0.0
AACPS9_num3	AACPS9_num3	ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c	-0.0
FA100ACPHi_num2	FA100ACPHi_num2	dcaACP_c + h2o_c --> ACP_c + dca_c + h_c	-0.0
FA120ACPHi_num2	FA120ACPHi_num2	ddcaACP_c + h2o_c --> ACP_c + ddca_c + h_c	-0.0
FA140ACPHi_num2	FA140ACPHi_num2	h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c	-0.0
FA141ACPHi_num2	FA141ACPHi_num2	h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c	-0.0
FA160ACPHi_num2	FA160ACPHi_num2	h2o_c + palmACP_c --> ACP_c + h_c + hdca_c	0.0
FA161ACPHi_num2	FA161ACPHi_num2	h2o_c + hdeACP_c --> ACP_c + h_c + hdcea_c	-0.0
FA80ACPHi_num2	FA80ACPHi_num2	h2o_c + ocACP_c --> ACP_c + h_c + octa_c	0.0
FACOAL100t2pp_num2	FACOAL100t2pp_num2	atp_c + coa_c + dca_e + h_e --> amp_c + dcacoa_c + h_c + ppi_c	-0.0
FACOAL120t2pp_num2	FACOAL120t2pp_num2	atp_c + coa_c + ddca_e + h_e --> amp_c + ddcacoa_c + h_c + ppi_c	0.0
FACOAL140t2pp_num2	FACOAL140t2pp_num2	atp_c + coa_c + h_e + ttdca_e --> amp_c + h_c + ppi_c + tdcoa_c	0.0
FACOAL141t2pp_num2	FACOAL141t2pp_num2	atp_c + coa_c + h_e + ttdcea_e --> amp_c + h_c + ppi_c + tdecoa_c	-0.0
FACOAL160t2pp_num2	FACOAL160t2pp_num2	atp_c + coa_c + h_e + hdca_e --> amp_c + h_c + pmtcoa_c + ppi_c	-16
FACOAL161t2pp_num2	FACOAL161t2pp_num2	atp_c + coa_c + h_e + hdcea_e --> amp_c + h_c + hdcoa_c + ppi_c	-0.0
FACOAL180t2pp_num2	FACOAL180t2pp_num2	atp_c + coa_c + h_e + ocdca_e --> amp_c + h_c + ppi_c + stcoa_c	-14.6
FACOAL181t2pp_num2	FACOAL181t2pp_num2	atp_c + coa_c + h_e + ocdcea_e --> amp_c + h_c + odecoa_c + ppi_c	-0.0
FACOAL60t2pp_num2	FACOAL60t2pp_num2	atp_c + coa_c + h_e + hxa_e --> amp_c + h_c + hxcoa_c + ppi_c	-0.0
FACOAL80t2pp_num2	FACOAL80t2pp_num2	atp_c + coa_c + h_e + octa_e --> amp_c + h_c + occoa_c + ppi_c	-14.6
MI1PP_num2	MI1PP_num2	h2o_c + mi1p__D_c --> inost_c + pi_c	-23.1
TDPGDH_num2	TDPGDH_num2	dtdpglu_c --> dtdp4d6dg_c + h2o_c	-47.5
TDPGDH_num3	TDPGDH_num3	dtdpglu_c --> dtdp4d6dg_c + h2o_c	-47.5
UAGCVT_num2	UAGCVT_num2	pep_c + uacgam_c --> pi_c + uaccg_c	-14
UAMDH_num2	UAMDH_num2	h_c + nadph_c + uaccg_c --> nadp_c + uamr_c	-54.6
UDPGD_num2	UDPGD_num2	h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c	-31.5
GALUi_num2	GALUi_num2	g1p_c + h_c + utp_c --> ppi_c + udpg_c	-3.2
CS_num2	CS_num2	accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c	-40.0
ACPS1_num2	ACPS1_num2	apoACP_c + coa_c --> ACP_c + h_c + pap_c	-0.0
ACPS1_num3	ACPS1_num3	apoACP_c + coa_c --> ACP_c + h_c + pap_c	-0.0
BMOCOS_num2	BMOCOS_num2	moco_c + mptamp_c --> amp_c + bmoco_c + cu2_c	-0.0
BMOCOS_num3	BMOCOS_num3	moco_c + mptamp_c --> amp_c + bmoco_c + cu2_c	-0.0
BWCOS_num2	BWCOS_num2	mptamp_c + wco_c --> amp_c + bwco_c + cu2_c	-0.0
BWCOS_num3	BWCOS_num3	mptamp_c + wco_c --> amp_c + bwco_c + cu2_c	-0.0
CPMPS_num2	CPMPS_num2	gtp_c + h2o_c --> cpmp_c + ppi_c	-0
DHPPDA2_num2	DHPPDA2_num2	25drapp_c + h2o_c + h_c --> 5apru_c + nh4_c	0
DHPS2_num2	DHPS2_num2	4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c	-65
DMATT_num2	DMATT_num2	dmpp_c + ipdp_c --> grdp_c + ppi_c	-82.3
GRTT_num2	GRTT_num2	grdp_c + ipdp_c --> frdp_c + ppi_c	-83.9
GTPDPDP_num2	GTPDPDP_num2	gdptp_c + h2o_c --> h_c + pi_c + ppgpp_c	-32.8
MOCOS_num2	MOCOS_num2	2.0 h_c + mobd_c + mptamp_c --> amp_c + cu2_c + h2o_c + moco_c	-0.0
MOCOS_num3	MOCOS_num3	2.0 h_c + mobd_c + mptamp_c --> amp_c + cu2_c + h2o_c + moco_c	-0.0
MSDHD_num2	MSDHD_num2	coa_c + msa_c + nad_c --> accoa_c + co2_c + nadh_c	-26
NADDP_num2	NADDP_num2	h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c	-42.5
NADPPPS_num2	NADPPPS_num2	h2o_c + nadp_c --> nad_c + pi_c	-17.6
NADPPPS_num3	NADPPPS_num3	h2o_c + nadp_c --> nad_c + pi_c	-17.6
PANTS_num2	PANTS_num2	ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c	-47
TMPPP_num2	TMPPP_num2	2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c	-25.6
TMPPP_num3	TMPPP_num3	2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c	-25.6
WCOS_num2	WCOS_num2	2.0 h_c + mptamp_c + tungs_c --> amp_c + cu2_c + h2o_c + wco_c	-0.0
WCOS_num3	WCOS_num3	2.0 h_c + mptamp_c + tungs_c --> amp_c + cu2_c + h2o_c + wco_c	-0.0
AMPTASECG_num2	AMPTASECG_num2	cgly_c + h2o_c --> cys__L_c + gly_c	8
MCPST_num2	MCPST_num2	cyan_c + mercppyr_c --> h_c + pyr_c + tcynt_c	-80
MCPST_num3	MCPST_num3	cyan_c + mercppyr_c --> h_c + pyr_c + tcynt_c	-80
GLNS_num2	GLNS_num2	atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c	-16.4
G3PAT120_num2	G3PAT120_num2	ddcaACP_c + glyc3p_c --> 1ddecg3p_c + ACP_c	0.0
G3PAT120_num3	G3PAT120_num3	ddcaACP_c + glyc3p_c --> 1ddecg3p_c + ACP_c	0.0
G3PAT120_num4	G3PAT120_num4	ddcaACP_c + glyc3p_c --> 1ddecg3p_c + ACP_c	0.0
G3PAT120_num5	G3PAT120_num5	ddcaACP_c + glyc3p_c --> 1ddecg3p_c + ACP_c	0.0
G3PAT140_num2	G3PAT140_num2	glyc3p_c + myrsACP_c --> 1tdecg3p_c + ACP_c	0.0
G3PAT140_num3	G3PAT140_num3	glyc3p_c + myrsACP_c --> 1tdecg3p_c + ACP_c	0.0
G3PAT140_num4	G3PAT140_num4	glyc3p_c + myrsACP_c --> 1tdecg3p_c + ACP_c	0.0
G3PAT140_num5	G3PAT140_num5	glyc3p_c + myrsACP_c --> 1tdecg3p_c + ACP_c	0.0
G3PAT141_num2	G3PAT141_num2	glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c	-0.0
G3PAT141_num3	G3PAT141_num3	glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c	-0.0
G3PAT141_num4	G3PAT141_num4	glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c	-0.0
G3PAT141_num5	G3PAT141_num5	glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c	-0.0
G3PAT160_num2	G3PAT160_num2	glyc3p_c + palmACP_c --> 1hdecg3p_c + ACP_c	-0.0
G3PAT160_num3	G3PAT160_num3	glyc3p_c + palmACP_c --> 1hdecg3p_c + ACP_c	-0.0
G3PAT160_num4	G3PAT160_num4	glyc3p_c + palmACP_c --> 1hdecg3p_c + ACP_c	-0.0
G3PAT160_num5	G3PAT160_num5	glyc3p_c + palmACP_c --> 1hdecg3p_c + ACP_c	-0.0
G3PAT161_num2	G3PAT161_num2	glyc3p_c + hdeACP_c --> 1hdec9eg3p_c + ACP_c	-0.0
G3PAT161_num3	G3PAT161_num3	glyc3p_c + hdeACP_c --> 1hdec9eg3p_c + ACP_c	-0.0
G3PAT161_num4	G3PAT161_num4	glyc3p_c + hdeACP_c --> 1hdec9eg3p_c + ACP_c	-0.0
G3PAT161_num5	G3PAT161_num5	glyc3p_c + hdeACP_c --> 1hdec9eg3p_c + ACP_c	-0.0
G3PAT180_num2	G3PAT180_num2	glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c	0.0
G3PAT180_num3	G3PAT180_num3	glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c	0.0
G3PAT180_num4	G3PAT180_num4	glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c	0.0
G3PAT180_num5	G3PAT180_num5	glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c	0.0
G3PAT181_num2	G3PAT181_num2	glyc3p_c + octeACP_c --> 1odec11eg3p_c + ACP_c	-0.0
G3PAT181_num3	G3PAT181_num3	glyc3p_c + octeACP_c --> 1odec11eg3p_c + ACP_c	-0.0
G3PAT181_num4	G3PAT181_num4	glyc3p_c + octeACP_c --> 1odec11eg3p_c + ACP_c	-0.0
G3PAT181_num5	G3PAT181_num5	glyc3p_c + octeACP_c --> 1odec11eg3p_c + ACP_c	-0.0
LPLIPAL1A180pp_num2	LPLIPAL1A180pp_num2	1odecg3p_c + h2o_c --> glyc3p_c + h_c + ocdca_c	-28.6
GAPD_num2	GAPD_num2	g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c	0.1
GLCP_num2	GLCP_num2	glycogen_c + pi_c --> g1p_c	811
GLCP2_num2	GLCP2_num2	bglycogen_c + pi_c --> g1p_c	0.0
PGM_num2	PGM_num2	3pg_c --> 2pg_c	4.3
PGM_num3	PGM_num3	3pg_c --> 2pg_c	4.3
PGM_num4	PGM_num4	3pg_c --> 2pg_c	4.3
PGM_num5	PGM_num5	3pg_c --> 2pg_c	4.3
PYK_num2	PYK_num2	adp_c + h_c + pep_c --> atp_c + pyr_c	-24.5
HSTPT_num2	HSTPT_num2	glu__L_c + imacp_c --> akg_c + hisp_c	9.5
CAt6pp_num2	CAt6pp_num2	ca2_c + na1_e --> ca2_e + na1_c	0.0
CAt6pp_num3	CAt6pp_num3	ca2_c + na1_e --> ca2_e + na1_c	0.0
CAt6pp_num4	CAt6pp_num4	ca2_c + na1_e --> ca2_e + na1_c	0.0
CAt6pp_num5	CAt6pp_num5	ca2_c + na1_e --> ca2_e + na1_c	0.0
CAt6pp_num6	CAt6pp_num6	ca2_c + na1_e --> ca2_e + na1_c	0.0
CAt6pp_num7	CAt6pp_num7	ca2_c + na1_e --> ca2_e + na1_c	0.0
CAt6pp_num8	CAt6pp_num8	ca2_c + na1_e --> ca2_e + na1_c	0.0
CAt6pp_num9	CAt6pp_num9	ca2_c + na1_e --> ca2_e + na1_c	0.0
CYANSTpp_num2	CYANSTpp_num2	cyan_c + tsul_c --> h_c + so3_c + tcynt_c	-0.0
CYANSTpp_num3	CYANSTpp_num3	cyan_c + tsul_c --> h_c + so3_c + tcynt_c	-0.0
CYANSTpp_num4	CYANSTpp_num4	cyan_c + tsul_c --> h_c + so3_c + tcynt_c	-0.0
CYANSTpp_num5	CYANSTpp_num5	cyan_c + tsul_c --> h_c + so3_c + tcynt_c	-0.0
FE3abcpp_num2	FE3abcpp_num2	atp_c + fe3_e + h2o_c --> adp_c + fe3_c + h_c + pi_c	-30.61
Kabcpp_num2	Kabcpp_num2	atp_c + h2o_c + k_e --> adp_c + h_c + k_c + pi_c	-30.61
Kabcpp_num3	Kabcpp_num3	atp_c + h2o_c + k_e --> adp_c + h_c + k_c + pi_c	-30.61
Kabcpp_num4	Kabcpp_num4	atp_c + h2o_c + k_e --> adp_c + h_c + k_c + pi_c	-30.61
Kabcpp_num5	Kabcpp_num5	atp_c + h2o_c + k_e --> adp_c + h_c + k_c + pi_c	-30.61
